Dot Point Measurements

Generated: Friday 22 May 2026 11:31:30

Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site	Habitat	Transect	Analyst	Rugosity	Depth	Collector	Fishing status	Spare	Spare	level_2	level_3	level_4	level_5	scientific	qualifiers	check		Radius %
SAL-BV-001_1_X.JPG	      0		673	458													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						28.8
SAL-BV-001_1_X.JPG	      0		671	1683													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						100.0
SAL-BV-001_1_X.JPG	      0		871	284													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						43.6
SAL-BV-001_1_X.JPG	      0		994	1224													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						55.7
SAL-BV-001_1_X.JPG	      0		821	337													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						37.7
SAL-BV-001_1_X.JPG	      0		982	752													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						18.3
SAL-BV-001_1_X.JPG	      0		731	1067													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						37.3
SAL-BV-001_1_X.JPG	      0		983	381													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						37.7
SAL-BV-001_1_X.JPG	      0		759	675													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						5.9
SAL-BV-001_1_X.JPG	      0		856	456													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						26.1
SAL-BV-001_1_X.JPG	      0		965	36													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						70.1
SAL-BV-001_1_X.JPG	      0		698	442													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						29.2
SAL-BV-001_1_X.JPG	      0		1007	903													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						28.4
SAL-BV-001_1_X.JPG	      0		962	465													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						29.3
SAL-BV-001_1_X.JPG	      0		822	1043													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						34.0
SAL-BV-001_1_X.JPG	      0		655	29													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						70.7
SAL-BV-001_1_X.JPG	      0		551	451													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						36.9
SAL-BV-001_1_X.JPG	      0		570	930													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						33.0
SAL-BV-001_1_X.JPG	      0		940	1270													Macroalgae > Large canopy-forming	Brown	Ecklonia radiata						58.7
SAL-BV-001_1_X.JPG	      0		626	1275													Unscorable								60.5
SAL-BV-013_1_X.JPG	      0		710	1273													Cnidaria > Hydroids								37.9
SAL-BV-013_1_X.JPG	      0		648	872													Sponges > Erect forms	Laminar							20.4
SAL-BV-013_1_X.JPG	      0		673	1237													Sponges > Cup-likes	Cups	Cup / goblet						34.6
SAL-BV-013_1_X.JPG	      0		557	351													Unscorable								85.5
SAL-BV-013_1_X.JPG	      0		726	789													Sponges > Cup-likes	Cups	Cup / goblet						25.4
SAL-BV-013_1_X.JPG	      0		604	469													Unscorable								69.2
